Case 1113	12/10/2018	04:46:46 p.m.	Run 1
5	33,39	2,98	33,52	5,10
6	30,69	1,70	30,74	3,17
7	32,17	2,28	32,25	4,05
8	30,86	2,25	30,94	4,16
9	31,30	2,37	31,39	4,33
10	31,04	2,45	31,14	4,51
11	30,70	2,72	30,82	5,07
12	30,90	2,42	31,00	4,48
13	30,47	3,00	30,62	5,62
14	30,57	2,52	30,68	4,72
15	30,34	3,04	30,49	5,72
16	30,21	2,71	30,33	5,13
18	30,01	3,07	30,16	5,83
20	29,77	3,00	29,92	5,76
23	29,48	3,11	29,65	6,01
25	29,36	3,18	29,53	6,18
28	28,90	3,26	29,08	6,44
31	28,83	3,23	29,01	6,39
35	28,50	3,43	28,70	6,87
39	28,15	3,38	28,35	6,85
43	28,05	3,47	28,26	7,05
50	27,64	3,47	27,86	7,14
54	27,53	3,47	27,74	7,19
60	27,22	3,44	27,44	7,21
67	27,01	3,41	27,23	7,19
75	26,77	3,50	26,99	7,44
83	26,53	3,53	26,76	7,57
93	26,37	3,50	26,60	7,56
100	26,20	3,47	26,43	7,55
115	25,98	3,56	26,23	7,80
128	25,84	3,57	26,09	7,88
143	25,67	3,61	25,92	8,01
159	25,47	3,70	25,74	8,26
177	25,40	3,75	25,68	8,39
200	25,23	3,88	25,53	8,75
220	25,10	3,96	25,41	8,96
245	25,00	4,15	25,34	9,42
273	24,88	4,33	25,25	9,87
304	24,84	4,52	25,25	10,32
339	24,75	4,76	25,20	10,89
378	24,70	5,05	25,21	11,55
421	24,66	5,40	25,24	12,36
469	24,64	5,79	25,31	13,22
500	24,62	6,04	25,35	13,78
582	24,60	6,73	25,50	15,31
649	24,68	7,31	25,74	16,50
723	24,73	7,94	25,97	17,81
806	24,86	8,69	26,33	19,27
898	25,02	9,58	26,79	20,95
1000	25,24	10,44	27,32	22,47
