Case 1101	12/10/2018	04:43:50 p.m.	Run 1
5	15,79	-16,51	22,84	-46,28
6	33,00	4,84	33,36	8,34
7	6,40	-2,63	6,92	-22,37
8	35,19	0,90	35,20	1,47
9	13,77	4,53	14,49	18,22
10	29,73	-1,68	29,78	-3,23
11	19,32	5,38	20,05	15,58
12	24,60	-0,07	24,60	-0,15
13	23,13	3,35	23,37	8,23
14	22,86	2,64	23,01	6,59
15	23,46	0,18	23,46	0,44
16	22,74	4,86	23,26	12,07
18	21,51	-0,63	21,52	-1,68
20	24,06	3,84	24,36	9,07
23	20,39	1,73	20,46	4,84
25	23,13	1,78	23,20	4,40
28	21,34	2,60	21,50	6,95
31	21,85	2,01	21,94	5,26
35	21,46	1,67	21,52	4,44
39	21,97	2,57	22,12	6,68
43	20,10	2,12	20,21	6,03
50	21,56	1,42	21,60	3,76
54	21,08	2,63	21,24	7,11
60	20,28	2,04	20,39	5,76
67	20,76	1,87	20,84	5,14
75	20,57	2,04	20,67	5,68
83	20,70	2,18	20,81	6,00
93	20,18	2,37	20,32	6,69
100	20,07	2,08	20,18	5,91
115	19,74	1,89	19,83	5,48
128	20,03	1,95	20,13	5,56
143	19,98	2,02	20,08	5,77
159	19,78	2,12	19,90	6,11
177	20,01	2,20	20,13	6,27
200	19,57	2,28	19,71	6,65
220	19,68	2,40	19,83	6,95
245	19,37	2,60	19,54	7,63
273	19,88	2,78	20,07	7,95
304	19,52	2,75	19,72	8,01
339	19,56	3,07	19,80	8,93
378	19,77	3,20	20,03	9,19
421	19,83	3,54	20,14	10,13
469	19,80	3,84	20,17	10,97
500	19,70	3,98	20,10	11,41
582	20,13	4,55	20,63	12,75
649	19,96	4,91	20,56	13,83
723	20,20	5,52	20,94	15,27
806	20,54	6,04	21,41	16,39
898	20,79	6,73	21,85	17,95
1000	21,28	7,55	22,58	19,53
